Sample,TOC,TOCmM,TOCsim
week3,1.54224,0.128402298,0.105707757
week3,1.18336,0.098523021,0.105707757
week3,1.08112,0.090010823,0.105707757
week3,1.11136,0.092528516,0.105707757
week6,4.92,0.409624511,0.140930898
week6,4.83,0.40213138,0.140930898
week6,3.7,0.308050953,0.140930898
week6,3.71,0.308883523,0.140930898
week9,8.68,0.722670885,0.863665347
week9,9.66,0.804262759,0.863665347
week9,11.21,0.933311131,0.863665347
week9,9.61,0.800099908,0.863665347
week12,4.51,0.375489135,0.365934781
week12,5.17,0.430438764,0.365934781
week12,2.77,0.23062193,0.365934781
week12,5.34,0.444592457,0.365934781