Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83
1.9041260095263528e-7,2.2089023300875154e-6,2.1627934031208866e-6,1.0397385932106587e-7,1.8877117976649995e-6,2.511104256751082e-6,2.575355952160363e-6,3.868371334243873e-7,2.3305354814683197e-6,1.0501693690050682e-7,2.609722834531649e-7,5.024856134699199e-8,1.9490328869241294e-6,2.1010829044801575e-6,8.343728886579307e-8,2.2394483503474397e-6,2.5892169548615642e-6,4.090726655117993e-7,2.575356118427495e-6,4.096511520274894e-7,4.096511523571408e-7,2.4894896218393834e-6,1.90412600944924e-7,8.566186965293702e-7,1.0397385934415784e-7,2.3852602661140097e-6,2.5692620746824692e-6,4.5066358629330276e-7,4.506635862933027e-7,8.277644157387265e-8,2.3612308962351385e-7,2.513535687159799e-6,NaN,2.57461086593931e-6,6.294304450931847e-8,2.00232948934637e-6,2.638535059560217e-7,5.1544765449067604e-8,1.0610888455907833e-7,1.5071500841367772e-7,1.2589610342098226e-7,1.1991516158257664e-7,2.4624888467926545e-8,2.5308569049697245e-6,6.294110608464717e-8,1.8526680778040702e-6,7.779212666410559e-8,2.4452892861510823e-6,2.6273254340250683e-6,1.59339879545483e-7,3.8276240951508875e-7,2.3233378627533077e-6,1.2922760476838625e-7,2.0058363950428204e-6,4.829274575154705e-7,4.829274572576209e-7,4.829278410721312e-7,2.0373852101662205e-8,1.0069633163733599e-7,2.2397286642577247e-6,4.6248743826449533e-7,2.1434011974590903e-6,2.0083570392470615e-6,2.2133231864352687e-6,2.429851435362905e-6,4.5066358662061185e-7,2.0597262681575104e-6,2.52473909199955e-6,1.8990508370345797e-6,2.381117911965965e-6,2.361224853947319e-7,2.5785010331596604e-6,2.1750437305141163e-6,2.052659184387719e-6,2.2426224552032305e-6,1.51625373607226e-8,2.489417659114132e-6,2.5884845756338143e-6,1.0397385938092659e-7,2.142713459709576e-6,2.1755202982687452e-6,2.3883466751769423e-6,1.8526680778040702e-6
0.0001495922174020518,0.00016496455533143392,0.0001586570918638129,0.00017392182145442583,0.00020235036961145525,0.0001444325329699163,0.00016423835750577003,0.00012177270478240886,0.00013644036036451713,0.00017737718938831676,0.00013742581173656403,0.00020814044330094562,0.00017098011906786117,0.00018010521709477896,0.00018119692822044599,0.00014523661302533658,0.00015972564080579072,0.00017586266313405618,0.00016423840511175575,0.0002348991914604294,0.0002348991914604294,0.00012725173223582278,0.0001495922174020518,8.939058167542654e-5,0.00017392182145442583,0.00014294665524791444,0.00016156960324694358,0.00017038820683038712,0.00017038820683038712,0.0001848490742216748,0.00014218381711382543,0.00014405908352301789,6.397915532399705e-5,0.0001640258184705621,0.00019546708345315308,0.00019763226018136682,0.00013706086925734833,0.00020724647532472225,0.00017702843433709938,0.00016078466974819058,0.00016727409185961182,0.00016835031959866814,0.00024448266756450456,0.00011023846723333138,0.00019546813195246327,0.00019831861841253964,0.00018827920995980021,0.000120793897372199,0.00010777065110538385,0.00015974101180473498,0.00020024678916390564,0.00016227103754823548,0.00016671890964618493,0.00016768870576911658,0.00015593230551711495,0.00015593230551711495,0.00015593226875082925,0.00025207917975186514,0.00017498099876752364,0.0001708322965625503,0.00011491258268259973,0.0001574420494078092,0.00018931751504420956,0.00016818169550199882,0.00012512574878938504,0.00017038820683038712,0.00017421028864944644,6.994612841571659e-5,0.00018233589964758055,0.00011886700948491939,0.0001421839023435164,0.00016798969191801302,0.0001922312243632701,0.00018537666346581816,0.00017126130211675772,0.00027488112616609877,0.00012960570202841755,0.00015949789155285512,0.00017392182145442583,0.00017260770706573915,0.00017828836362702462,0.00014261561204472408,0.00019831861841253964
5.9765455742388e-5,1.30939049526909e-5,1.2546918809304629e-5,6.887284478825583e-5,1.030369007642808e-5,3.2435546043114665e-5,2.351656234069774e-5,4.914393001027055e-5,1.4135694694592812e-5,6.928605057956823e-5,5.509311433534086e-5,8.07275690827903e-5,1.0663566771089885e-5,1.2105309069549749e-5,7.197359832552665e-5,1.3208224498481875e-5,2.384198773015746e-5,5.71688560598319e-5,2.3516569744295684e-5,6.315563738664607e-5,6.315563738664607e-5,1.6240212836096255e-5,5.9765455742388e-5,3.665429200001464e-5,6.887284478825583e-5,3.470041894471219e-5,2.3216847775185315e-5,5.542765151820154e-5,5.542765151820154e-5,7.258605946324417e-5,5.67135448334805e-5,3.234592435637214e-5,NaN,2.3483512501104013e-5,7.671675925777089e-5,1.1277113901325116e-5,5.493887524766069e-5,8.034898451003125e-5,6.913962234523076e-5,6.354677086552882e-5,6.614270934851579e-5,6.674524379163513e-5,9.330933742181135e-5,1.6503163398669264e-5,7.67172056297318e-5,8.338608512979424e-5,7.366689607511473e-5,1.536579291214752e-5,1.9254550521722602e-5,6.288614042916773e-5,6.072291116906802e-5,1.4409682957705894e-5,6.582263692384734e-5,1.113347855429292e-5,5.283039908690878e-5,5.283039908690878e-5,5.2830385789013854e-5,9.653516229145368e-5,6.932302386135461e-5,1.3494723546260996e-5,4.645386611127776e-5,1.233974942776267e-5,1.1288141655722821e-5,1.317314435420299e-5,1.52402386616785e-5,5.542765151820154e-5,1.1668066587723261e-5,1.448929210806829e-5,1.0308427597203629e-5,1.4432074920279666e-5,5.6713580759351766e-5,2.3761323403094982e-5,1.2951521758446723e-5,1.1674430264672002e-5,1.3532043414641636e-5,0.00010327129156409144,3.1451869429780436e-5,2.380517950003273e-5,6.887284478825583e-5,1.2465155019763372e-5,1.2852111447916977e-5,3.461469855455554e-5,8.338608512979424e-5
3.370664754623653e-5,3.149640239483044e-5,3.022009717879083e-5,3.8396589273404306e-5,3.3558314250643675e-5,6.506963779780142e-6,3.709107814190818e-6,2.809075453556882e-5,2.7736330950381727e-5,3.8321669815629415e-5,3.123685267653196e-5,4.411335372849647e-5,3.0325486856332828e-5,3.2800707032622e-5,4.0105093165239754e-5,2.8650787816094403e-5,3.822936735253305e-6,2.1406151383374208e-5,3.7091089885916476e-6,1.9424028722372566e-5,1.9424028722372566e-5,2.7000674351136288e-5,3.3706647546236534e-5,2.1340048382056332e-5,3.8396589273404306e-5,7.40851934321827e-6,3.668161878495175e-6,2.0826366156964287e-5,2.0826366156964287e-5,4.016919718380516e-5,3.202513999083767e-5,6.488866532771312e-6,1.7283555987647078e-6,3.703865292595368e-6,4.231729248390318e-5,3.416459417000559e-5,3.115021101082802e-5,4.39090175388291e-5,3.8241561930359424e-5,3.552348531639946e-5,3.69159978542333e-5,3.7292096186169254e-5,5.0093389147113625e-5,2.3996692972569174e-5,4.2317535729931156e-5,2.138862827351727e-5,4.065446726427021e-5,2.557499186632207e-5,2.4123115299979043e-5,3.509290235582911e-5,2.0932470767349893e-5,3.1932853945225715e-5,3.6714197635640575e-5,3.0342368859849598e-5,2.098236061484232e-5,2.098236061484232e-5,2.0982355331206458e-5,5.179557230676524e-5,3.864474700202239e-5,3.261258446597378e-5,2.6630328854595933e-5,2.9904176293366238e-5,3.318517724358014e-5,3.2010431832529215e-5,2.6287305186586293e-5,2.0826366156964287e-5,3.1653179116620356e-5,1.5837755907774252e-5,3.132120568961872e-5,2.4919865602489683e-5,3.202516008590501e-5,3.7289002932022695e-6,3.5124252299754356e-5,3.30819497549491e-5,3.2699844714370846e-5,5.4590768308746e-5,6.744345126387543e-6,3.817000884541186e-6,3.839658927340433e-5,3.2100586484893075e-5,3.3177987108920276e-5,7.390097312230715e-6,2.138862827351727e-5
2.4412966740825257e-5,2.2559365008467403e-5,2.1862265322526487e-5,2.6816610326038893e-5,2.3434651065757194e-5,6.910283643842527e-6,4.134402189473032e-6,2.123649807224761e-5,2.0564328060639277e-5,2.6829291012183027e-5,2.306051543158107e-5,2.9485141753952692e-5,2.181448111953557e-5,2.3177385193010896e-5,2.761432246098251e-5,2.1040318914794846e-5,4.2508337432661015e-6,2.0913766834701272e-5,4.134403451213762e-6,2.0942438211187833e-5,2.0942438211187833e-5,2.0205459368203212e-5,2.4412966740825257e-5,1.6956281536330373e-5,2.6816610326038893e-5,7.751999412058536e-6,4.089792326356057e-6,2.0443629980637824e-5,2.0443629980637824e-5,2.7685636905151188e-5,2.351300129062706e-5,6.8922552487206424e-6,2.4473386809967723e-6,4.128769453301436e-6,2.8662343696483055e-5,2.380314412025707e-5,2.3012832875301664e-5,2.9399273709515814e-5,2.6791091748185724e-5,2.53970124950586e-5,2.6097259644424787e-5,2.6273899925355668e-5,3.191958960944471e-5,1.8433139234721484e-5,2.866244991297354e-5,1.516811177592224e-5,2.792270158599375e-5,1.9354210370149748e-5,1.855693620405726e-5,2.518979115623303e-5,2.1244736014381544e-5,2.2841225736574087e-5,2.6002214360081212e-5,2.185250519294829e-5,2.0091503900980524e-5,2.0091503900980524e-5,2.009149993199742e-5,3.252534204535973e-5,2.6934298480105185e-5,2.3151955841767003e-5,2.035844928493865e-5,2.1683729637753982e-5,2.3320666166275348e-5,2.282899845264293e-5,1.9767975566057732e-5,2.0443629980637603e-5,2.2567497413804515e-5,1.302876143912599e-5,2.230891949313742e-5,1.8941690754431383e-5,2.3513012172457632e-5,4.157383502002286e-6,2.437019566440069e-5,2.3293478806010487e-5,2.3198028290545078e-5,3.354403381977175e-5,7.097937018675341e-6,4.244478652982602e-6,2.6816610326038893e-5,2.2840803609151633e-5,2.3407084006632625e-5,7.73407512824188e-6,1.516811177592224e-5
1.1694305805194947e-5,1.1415601342759364e-5,1.1289669595589025e-5,1.1842147528422387e-5,1.1549262314517762e-5,1.5533927053714006e-6,8.426349569327129e-7,1.1191166682500247e-5,1.1016147639469482e-5,1.1842938920653919e-5,1.1521914300094036e-5,1.1746951273158834e-5,1.1278905629050013e-5,1.1513311037931278e-5,1.1844118884632531e-5,1.1122356017595515e-5,8.714249820916712e-7,1.0532203416239416e-5,8.426352173565696e-7,1.027777734480693e-5,1.027777734480693e-5,1.0932110155090339e-5,1.1694305805194947e-5,9.995047788221681e-6,1.1842147528054468e-5,1.7950082802447226e-6,8.339247894801952e-7,1.0407343601787089e-5,1.0407343601787092e-5,1.1842662182465893e-5,1.1587877566830911e-5,1.5492692647007235e-6,2.5908270470290805e-6,8.414723894142345e-7,1.1808200830429318e-5,1.1599788962646057e-5,1.1514803614537223e-5,1.1754375864223075e-5,1.1842328266857061e-5,1.1781362103485462e-5,1.182043098181161e-5,1.1827268491149143e-5,1.1391940483197291e-5,1.045361219863451e-5,1.180819511041129e-5,8.090728523780474e-6,1.1837485541803771e-5,1.0713779366164879e-5,1.0491256649966931e-5,1.1767211436352092e-5,1.0511967174117458e-5,1.14626809638648e-5,1.1816332392365495e-5,1.1286661482222555e-5,1.0384288023015378e-5,1.0384288023015378e-5,1.038428688939214e-5,1.1263170757202808e-5,1.1843904276617077e-5,1.1510342322191167e-5,1.0993938805381019e-5,1.1254877169768532e-5,1.1533784063613163e-5,1.1460054648028314e-5,1.082240753957026e-5,1.0407343601785708e-5,1.1415990096407618e-5,8.411139289601235e-6,1.1370036260917762e-5,1.059966304339317e-5,1.1587879012997186e-5,8.459593365761461e-7,1.1668541857581535e-5,1.1530121952272773e-5,1.1517235325990616e-5,1.098735319873153e-5,1.6448780615778351e-6,8.701053769395234e-7,1.1842147528422387e-5,1.1461504487725128e-5,1.1547186737433894e-5,1.7907827894162155e-6,8.090728523780474e-6
5.8662326339137295e-5,5.9861835606108384e-5,5.7429884411960735e-5,6.844995879713161e-5,6.972594701540755e-5,4.24034831344054e-5,3.66712595490116e-5,4.756202039072254e-5,5.043030175717467e-5,6.958625063955239e-5,5.3780514625137125e-5,8.214314276355424e-5,6.023686917269634e-5,6.431188316428842e-5,7.151379683741389e-5,5.315592381824347e-5,3.664015942157703e-5,7.115904534675944e-5,3.667127099950106e-5,9.765997192663086e-5,9.765997192663086e-5,4.771690895021414e-5,5.8662326339137295e-5,3.479919842529016e-5,6.844995879713161e-5,4.3791722573969064e-5,3.614941129801665e-5,6.879790693255042e-5,6.879790693255042e-5,7.277432116584743e-5,5.5626427659328224e-5,4.228718740349547e-5,1.0566065702249161e-5,3.662014373329008e-5,7.715857818096384e-5,6.928989584260903e-5,5.363052806795821e-5,8.176083938885537e-5,6.944006113705351e-5,6.302928429860576e-5,6.569168840487207e-5,6.618500473883754e-5,9.69669397371071e-5,4.1569290047001405e-5,7.71590241045803e-5,4.956227815807903e-5,7.411092625234249e-5,4.518768052936678e-5,4.1037750152516114e-5,6.253003099556306e-5,8.189974470908374e-5,5.95755284428399e-5,6.543451145521569e-5,5.9538102239639794e-5,6.257611628965937e-5,6.257611628965937e-5,6.257610068344695e-5,0.00010029902293451024,6.889487730006247e-5,6.207558211538284e-5,4.482890279767703e-5,5.690746176626916e-5,6.664676059298458e-5,6.099791653984556e-5,4.6717491900573876e-5,6.879790693255042e-5,6.205806561019761e-5,2.6507506096069186e-5,6.351955817219633e-5,4.427850261331069e-5,5.5626462751914504e-5,3.7220080179571274e-5,6.893881685792219e-5,6.570519564993252e-5,6.224213007945077e-5,0.00010942417345971801,3.9613077100587865e-5,3.658404720853321e-5,6.844995879713161e-5,6.20695509054198e-5,6.421686132312094e-5,4.36843210905883e-5,4.956227815807903e-5
5.637918689749041e-5,5.5889513298587736e-5,5.357120166547471e-5,6.360876280962088e-5,5.998065877729802e-5,4.494357509790235e-5,3.813557666186832e-5,4.752234754519964e-5,4.8928924672088684e-5,6.283139045472119e-5,5.246486565051026e-5,7.171712630105854e-5,5.391555493419347e-5,5.838080837101171e-5,6.653158301742851e-5,5.064689722913409e-5,3.816102064763395e-5,6.473171147579608e-5,3.81355887194319e-5,7.641999815704095e-5,7.641999815704095e-5,4.7510780751107595e-5,5.637918689749041e-5,3.673482373521627e-5,6.360876280962088e-5,4.658130722590261e-5,3.759257618987354e-5,6.26687950182482e-5,6.26687950182482e-5,6.605213502120492e-5,5.3547380185345615e-5,4.481852687617818e-5,1.4308645172291716e-5,3.80817517326514e-5,6.94723354174455e-5,6.1003009052334334e-5,5.2315735005273756e-5,7.137285612194259e-5,6.269595512687362e-5,5.885575722970572e-5,6.113752031835955e-5,6.18744471294033e-5,8.024164725853773e-5,4.206870308523509e-5,6.947274864778713e-5,9.441950136744026e-5,6.66514547361301e-5,4.4952329461207054e-5,4.2239409273978985e-5,5.7980464059905436e-5,7.057533422572213e-5,5.6613566675306704e-5,6.0738722004708584e-5,5.390452676758627e-5,5.878279321714491e-5,5.878279321714491e-5,5.878277822021894e-5,8.307715512487702e-5,6.403278172069126e-5,5.792615604112078e-5,4.515174005727592e-5,5.300293943594128e-5,5.917256530990068e-5,5.6834123940080575e-5,4.6248342361668476e-5,6.26687950182482e-5,5.628767492177989e-5,2.7526462407706286e-5,5.580131374812009e-5,4.379608400806439e-5,5.354741464469675e-5,3.8694731696293824e-5,6.26344911083377e-5,5.894258378480437e-5,5.808512840909649e-5,8.629515871629675e-5,4.208611730931873e-5,3.810184611033057e-5,6.360876280962088e-5,5.7052420193276965e-5,5.90207275652705e-5,4.646535398785951e-5,9.441950136744023e-5
6.303690456171738e-5,7.676166142599633e-6,7.356031553554578e-6,6.998048210500151e-5,5.79110088577106e-6,3.1630058199697286e-5,2.1659450560619884e-5,5.41882892794906e-5,8.620729679840203e-6,6.948605691750048e-5,5.919063057680393e-5,7.764711312518466e-5,6.098729706491345e-6,6.9657053148283775e-6,7.259967809373921e-5,7.891185403325311e-6,2.2067860347980437e-5,7.36273139860089e-5,2.165945709623317e-5,8.737496519267937e-5,8.737496519267937e-5,1.0313787987901886e-5,6.303690456171737e-5,4.283268053850611e-5,6.998048210500151e-5,3.426300632341866e-5,2.140774568438454e-5,7.166922453413698e-5,7.166922453413698e-5,7.23604864077399e-5,6.032609106128321e-5,3.1548186532487986e-5,NaN,2.163027361732662e-5,7.545260369623907e-5,6.3908158404984464e-6,5.904682425457154e-5,7.734956376399116e-5,6.936266502724148e-5,6.557033880842376e-5,6.771037251352823e-5,6.835410390855102e-5,8.526556178630327e-5,1.0904052559914828e-5,7.545296479782721e-5,4.382099900741012e-5,7.296549843316181e-5,9.755231707833392e-6,1.3417593829863785e-5,6.48010203793645e-5,8.011921884516044e-5,8.57168389252537e-6,6.73618425449362e-5,6.404491271699507e-6,6.736167696901789e-5,6.736167696901789e-5,6.736166270827885e-5,8.75717177862785e-5,7.036341852800674e-5,7.903451435645219e-6,5.1767811188963035e-5,7.227576225676481e-6,6.4230004156365085e-6,7.708916684672653e-6,9.584693256428777e-6,7.166922453413698e-5,6.715118012427931e-6,1.071066381294595e-5,5.845073937197293e-6,9.073739826641862e-6,6.0326124099496126e-5,2.1837752884573195e-5,7.44829436715585e-6,6.675976313750695e-6,7.925306364458016e-6,9.053381642675915e-5,3.129958245156827e-5,2.2035234467655633e-5,6.998048210500154e-5,7.227701435319948e-6,7.44796987775068e-6,3.418422767416541e-5,4.382099900741012e-5
2.444917782772149e-5,4.221638696489212e-6,4.047062169059924e-6,2.4236991759001352e-5,3.161108620358388e-6,1.6980416896343768e-5,1.209792971719544e-5,2.4246841154649092e-5,4.796839883180517e-6,2.430324421760278e-5,2.443211671529373e-5,2.376169190215742e-5,3.3411547386984822e-6,3.812724447538325e-6,2.4056815531102134e-5,4.365069633978396e-6,1.2332167564513576e-5,2.391516978497523e-5,1.209793267554333e-5,2.264552906711886e-5,2.264552906711886e-5,5.811514664248493e-6,2.444917782772148e-5,2.3019468398771393e-5,2.4236991759001352e-5,1.8118903326428495e-5,1.1989116042255352e-5,2.407582711045473e-5,2.407582711045473e-5,2.4123376220721425e-5,2.4445719076086653e-5,1.6950526557787612e-5,NaN,1.2084719496905627e-5,2.3891462405585795e-5,3.4880876893152684e-6,2.442903485443698e-5,2.3791069444401198e-5,2.430926273500231e-5,2.4417014183209735e-5,2.4348445469203586e-5,2.4314676968807588e-5,2.3038763241913354e-5,6.227972857241094e-6,2.3891429424037954e-5,8.86819112596756e-6,2.409716111554188e-5,5.497132862619706e-6,7.810703743784003e-6,2.443715222123859e-5,2.334742892557704e-5,4.732341167229619e-6,2.436499967256015e-5,3.5108329520892417e-6,2.4307066150364113e-5,2.4307066150364106e-5,2.4307066859110682e-5,2.2712560680775823e-5,2.421383960871954e-5,4.345314490768899e-6,2.4077815897530544e-5,3.97746291152135e-6,3.5097500758404364e-6,4.23737089322463e-6,5.384673081952178e-6,2.407582711045473e-5,3.6778540945417895e-6,6.388165140654951e-6,3.198619217001028e-6,5.098210984493112e-6,2.4445719513973298e-5,1.2163026546011966e-5,4.074291211132231e-6,3.649573848873486e-6,4.357325469025851e-6,2.246247907676029e-5,1.7089803945487993e-5,1.2317484010019085e-5,2.4236991759001393e-5,3.965510909688787e-6,4.083371794304107e-6,1.809224962354586e-5,8.86819112596756e-6
4.324073579263056e-5,4.653732942663669e-5,4.482214699887989e-5,4.753616708623928e-5,5.03084987137197e-5,8.815140958782477e-6,4.998873429742576e-6,3.7639207673175806e-5,4.099072183924939e-5,4.658972957082531e-5,4.0774749547675866e-5,5.1722873514432117e-5,4.544289166684576e-5,4.86339215970616e-5,4.945122392368795e-5,4.2442657534216424e-5,5.154601243798477e-6,2.064663053410345e-5,4.998874999372172e-6,1.6976576345420863e-5,1.6976576345420863e-5,3.9698917063817516e-5,4.324073579263056e-5,3.0411176478478943e-5,4.753616708623928e-5,1.0050590248965281e-5,4.944521876226179e-6,2.0146327626879795e-5,2.0146327626879795e-5,4.874936731415581e-5,4.13272331210957e-5,8.790988090918861e-6,3.4533080633455634e-6,4.9918665256272025e-6,5.08011727921481e-5,5.084230417637624e-5,4.0670343524508e-5,5.15067180449699e-5,4.650086706852652e-5,4.447364642864859e-5,4.593721877311539e-5,4.6492698253357317e-5,5.60612494372808e-5,3.540539431843458e-5,5.080143646242301e-5,1.044397575920962e-5,4.899118889749734e-5,3.7757692928960695e-5,3.540639373670046e-5,4.3785158682848926e-5,1.9290740530512657e-5,4.690753812840375e-5,4.563387835348542e-5,4.5334630700419716e-5,2.1010913417991625e-5,2.1010913417991625e-5,2.1010908295368074e-5,5.774445999410954e-5,4.7815374034168874e-5,4.804190749665536e-5,3.6045891591137465e-5,4.441052711553021e-5,4.942224577250877e-5,4.725345381647523e-5,3.878733518706934e-5,2.0146327626879795e-5,4.7095904340384e-5,2.3695481846296562e-5,4.701936820186741e-5,3.691511881474496e-5,4.1327257031752144e-5,5.0242388385777635e-6,5.172360323863415e-5,4.915717573463847e-5,4.8157846494067224e-5,5.884975722931203e-5,9.166209759556546e-6,5.146666211302781e-6,4.753616708623932e-5,4.754003480495308e-5,4.898697250667738e-5,1.002602370955175e-5,1.044397575920962e-5
4.33851004899738e-6,4.725743538851967e-6,4.618000414742763e-6,3.7906256203191196e-6,4.104879944204341e-6,1.3112767951302494e-6,7.080524089490909e-7,5.0076039154885974e-6,4.919582755359695e-6,3.859785992460227e-6,4.638984777935461e-6,3.2186844324188727e-6,4.196050348077839e-6,4.524314048482728e-6,3.570685451070132e-6,4.7496960690729605e-6,7.333761452834619e-7,3.89240313320977e-6,7.080526339434887e-7,3.24789540662198e-6,3.24789540662198e-6,5.246663381382007e-6,4.338510048997382e-6,5.686876056908093e-6,3.7906256203191188e-6,1.5103741885545577e-6,7.005735661603978e-7,4.0430355069974295e-6,4.043035506997428e-6,3.6151356076117547e-6,4.559103563379059e-6,1.3079343549159887e-6,1.5063953079385202e-6,7.070480411372186e-7,3.3674297530414813e-6,4.339849357102e-6,4.650557501390943e-6,3.2429265046540622e-6,3.870137362576552e-6,4.154932634474009e-6,3.979296434494249e-6,3.921015193758453e-6,2.6715755913566517e-6,5.285278803183824e-6,3.3673999492858603e-6,3.075934782632796e-6,3.57385214160544e-6,5.121919964997497e-6,5.590742552055567e-6,4.225422444667093e-6,3.5372200041543065e-6,4.963399254158384e-6,4.010973526301293e-6,4.3085270880720405e-6,4.298090861093933e-6,4.2980908610939344e-6,4.298091997895803e-6,2.498617529070511e-6,3.758406715677e-6,4.8008282126156525e-6,5.177205981854199e-6,4.575497686942155e-6,4.34288048978521e-6,4.740651073225372e-6,5.101996523167248e-6,4.0430355069974295e-6,4.429764242404376e-6,4.998179681691994e-6,4.107174713267822e-6,4.9730842241450275e-6,4.559100877914864e-6,7.10798744897894e-7,4.695991607639837e-6,4.430385519642397e-6,4.80767138804064e-6,2.3274152216788173e-6,1.3898633373080425e-6,7.322332220617154e-7,3.7906256203191188e-6,4.6000573757848415e-6,4.677482200130024e-6,1.5069862358586338e-6,3.075934782632796e-6
